[0.006s][info][gc] Using Parallel
[3.454s][info ][safepoint      ] Application time: 0.0008757 seconds
[3.455s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.455s][info ][safepoint      ] Leaving safepoint region
[3.455s][info ][safepoint      ] Total time for which application threads were stopped: 0.0004819 seconds, Stopping threads took: 0.0004289 seconds
[3.456s][info ][safepoint      ] Application time: 0.0009372 seconds
[3.456s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.456s][info ][safepoint      ] Leaving safepoint region
[3.456s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000908 seconds, Stopping threads took: 0.0000382 seconds
[3.467s][info ][safepoint      ] Application time: 0.0112064 seconds
[3.467s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.467s][info ][safepoint      ] Leaving safepoint region
[3.467s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001603 seconds, Stopping threads took: 0.0000856 seconds
[3.469s][info ][safepoint      ] Application time: 0.0017396 seconds
[3.469s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.469s][info ][safepoint      ] Leaving safepoint region
[3.469s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001515 seconds, Stopping threads took: 0.0000748 seconds
[3.469s][info ][safepoint      ] Application time: 0.0002372 seconds
[3.470s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.470s][info ][safepoint      ] Leaving safepoint region
[3.470s][info ][safepoint      ] Total time for which application threads were stopped: 0.0005192 seconds, Stopping threads took: 0.0004704 seconds
[3.472s][info ][safepoint      ] Application time: 0.0019117 seconds
[3.472s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.472s][info ][safepoint      ] Leaving safepoint region
[3.472s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001271 seconds, Stopping threads took: 0.0000712 seconds
[3.473s][info ][safepoint      ] Application time: 0.0008184 seconds
[3.473s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.473s][info ][safepoint      ] Leaving safepoint region
[3.473s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000635 seconds, Stopping threads took: 0.0000077 seconds
[3.474s][info ][safepoint      ] Application time: 0.0007428 seconds
[3.474s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.474s][info ][safepoint      ] Leaving safepoint region
[3.474s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001307 seconds, Stopping threads took: 0.0000817 seconds
[3.475s][info ][safepoint      ] Application time: 0.0016735 seconds
[3.476s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.476s][info ][safepoint      ] Leaving safepoint region
[3.476s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001309 seconds, Stopping threads took: 0.0000604 seconds
[3.477s][info ][safepoint      ] Application time: 0.0013652 seconds
[3.477s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.477s][info ][safepoint      ] Leaving safepoint region
[3.477s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000662 seconds, Stopping threads took: 0.0000116 seconds
[3.479s][info ][safepoint      ] Application time: 0.0023727 seconds
[3.480s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.480s][info ][safepoint      ] Leaving safepoint region
[3.480s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001308 seconds, Stopping threads took: 0.0000661 seconds
[3.481s][info ][safepoint      ] Application time: 0.0015879 seconds
[3.481s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.481s][info ][safepoint      ] Leaving safepoint region
[3.481s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001133 seconds, Stopping threads took: 0.0000608 seconds
[3.483s][info ][safepoint      ] Application time: 0.0013264 seconds
[3.483s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.483s][info ][safepoint      ] Leaving safepoint region
[3.483s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000643 seconds, Stopping threads took: 0.0000079 seconds
[3.484s][info ][safepoint      ] Application time: 0.0009543 seconds
[3.484s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.484s][info ][safepoint      ] Leaving safepoint region
[3.484s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001798 seconds, Stopping threads took: 0.0001121 seconds
[3.485s][info ][safepoint      ] Application time: 0.0007014 seconds
[3.485s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.485s][info ][safepoint      ] Leaving safepoint region
[3.485s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001481 seconds, Stopping threads took: 0.0000319 seconds
[3.488s][info ][safepoint      ] Application time: 0.0029166 seconds
[3.488s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.488s][info ][safepoint      ] Leaving safepoint region
[3.488s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001295 seconds, Stopping threads took: 0.0000472 seconds
[3.489s][info ][safepoint      ] Application time: 0.0013047 seconds
[3.489s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.489s][info ][safepoint      ] Leaving safepoint region
[3.489s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001060 seconds, Stopping threads took: 0.0000444 seconds
[3.490s][info ][safepoint      ] Application time: 0.0007820 seconds
[3.490s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.490s][info ][safepoint      ] Leaving safepoint region
[3.490s][info ][safepoint      ] Total time for which application threads were stopped: 0.0003620 seconds, Stopping threads took: 0.0003050 seconds
[3.492s][info ][safepoint      ] Application time: 0.0018399 seconds
[3.492s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.492s][info ][safepoint      ] Leaving safepoint region
[3.492s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000932 seconds, Stopping threads took: 0.0000259 seconds
[3.494s][info ][safepoint      ] Application time: 0.0013492 seconds
[3.494s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.494s][info ][safepoint      ] Leaving safepoint region
[3.494s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001415 seconds, Stopping threads took: 0.0000908 seconds
[3.494s][info ][safepoint      ] Application time: 0.0006023 seconds
[3.495s][info ][safepoint      ] Entering safepoint region: BulkRevokeBias
[3.495s][info ][safepoint      ] Leaving safepoint region
[3.495s][info ][safepoint      ] Total time for which application threads were stopped: 0.0008990 seconds, Stopping threads took: 0.0007063 seconds
[3.496s][info ][safepoint      ] Application time: 0.0003873 seconds
[3.496s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.496s][info ][safepoint      ] Leaving safepoint region
[3.496s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001096 seconds, Stopping threads took: 0.0000512 seconds
[3.505s][info ][safepoint      ] Application time: 0.0092714 seconds
[3.505s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.505s][info ][safepoint      ] Leaving safepoint region
[3.505s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001461 seconds, Stopping threads took: 0.0000257 seconds
[3.507s][info ][safepoint      ] Application time: 0.0017021 seconds
[3.507s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.507s][info ][safepoint      ] Leaving safepoint region
[3.507s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001120 seconds, Stopping threads took: 0.0000320 seconds
[3.519s][info ][safepoint      ] Application time: 0.0117636 seconds
[3.519s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.519s][info ][safepoint      ] Leaving safepoint region
[3.519s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001800 seconds, Stopping threads took: 0.0000298 seconds
[3.526s][info ][safepoint      ] Application time: 0.0063764 seconds
[3.526s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.526s][info ][safepoint      ] Leaving safepoint region
[3.526s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001170 seconds, Stopping threads took: 0.0000507 seconds
[3.534s][info ][safepoint      ] Application time: 0.0082807 seconds
[3.534s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.534s][info ][safepoint      ] Leaving safepoint region
[3.534s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001963 seconds, Stopping threads took: 0.0000827 seconds
[3.534s][info ][safepoint      ] Application time: 0.0000489 seconds
[3.534s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.534s][info ][safepoint      ] Leaving safepoint region
[3.534s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001127 seconds, Stopping threads took: 0.0000428 seconds
[3.538s][info ][safepoint      ] Application time: 0.0036907 seconds
[3.538s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.538s][info ][safepoint      ] Leaving safepoint region
